#Time(s) qlen(pkts) qlen(us)
4.00 171 205
4.01 182 218
4.02 166 199
4.03 176 211
4.04 178 213
4.05 172 206
4.06 170 204
4.07 177 212
4.08 180 216
4.09 172 206
4.10 170 204
4.11 180 216
4.12 176 211
4.13 165 198
4.14 183 219
4.15 173 207
4.16 173 207
4.17 169 202
4.18 176 211
4.19 179 214
4.20 177 212
4.21 175 210
4.22 178 213
4.23 175 210
4.24 176 211
4.25 180 216
4.26 178 213
4.27 176 211
4.28 183 219
4.29 180 216
4.30 170 204
4.31 173 207
4.32 173 207
4.33 176 211
4.34 165 198
4.35 185 222
4.36 175 210
4.37 180 216
4.38 176 211
4.39 175 210
4.40 172 206
4.41 167 200
4.42 176 211
4.43 179 214
4.44 173 207
4.45 181 217
4.46 170 204
4.47 175 210
4.48 181 217
4.49 177 212
4.50 181 217
4.51 173 207
4.52 177 212
4.53 173 207
4.54 182 218
4.55 174 208
4.56 174 208
4.57 175 210
4.58 173 207
4.59 172 206
4.60 182 218
4.61 193 231
4.62 168 201
4.63 183 219
4.64 181 217
4.65 180 216
4.66 178 213
4.67 178 213
4.68 164 196
4.69 174 208
4.70 179 214
4.71 176 211
4.72 176 211
4.73 174 208
4.74 174 208
4.75 178 213
4.76 172 206
4.77 180 216
4.78 181 217
4.79 185 222
4.80 177 212
4.81 168 201
4.82 177 212
4.83 168 201
4.84 172 206
4.85 174 208
4.86 176 211
4.87 176 211
4.88 182 218
4.89 167 200
4.90 171 205
4.91 180 216
4.92 180 216
4.93 187 224
4.94 182 218
4.95 176 211
4.96 178 213
4.97 182 218
4.98 172 206
4.99 178 213
5.00 178 213
