#Time(s) qlen(pkts) qlen(us)
2.00 26 312
2.01 20 240
2.02 0 0
2.03 22 264
2.04 14 168
2.05 20 240
2.06 4 48
2.07 22 264
2.08 11 132
2.09 26 312
2.10 10 120
2.11 22 264
2.12 13 156
2.13 20 240
2.14 16 192
2.15 15 180
2.16 9 108
2.17 5 60
2.18 21 252
2.19 7 84
2.20 24 288
2.21 12 144
2.22 26 312
2.23 19 228
2.24 12 144
2.25 24 288
2.26 19 228
2.27 5 60
2.28 20 240
2.29 14 168
2.30 13 156
2.31 16 192
2.32 2 24
2.33 22 264
2.34 3 36
2.35 29 348
2.36 9 108
2.37 19 228
2.38 26 312
2.39 10 120
2.40 24 288
2.41 0 0
2.42 27 324
2.43 3 36
2.44 31 372
2.45 0 0
2.46 31 372
2.47 11 132
2.48 16 192
2.49 7 84
2.50 25 300
2.51 14 168
2.52 25 300
2.53 5 60
2.54 27 324
2.55 4 48
2.56 26 312
2.57 4 48
2.58 21 252
2.59 19 228
2.60 28 336
2.61 15 180
2.62 6 72
2.63 28 336
2.64 10 120
2.65 18 216
2.66 23 276
2.67 5 60
2.68 29 348
2.69 6 72
2.70 31 372
2.71 9 108
2.72 23 276
2.73 8 96
2.74 20 240
2.75 19 228
2.76 0 0
2.77 34 408
2.78 3 36
2.79 15 180
2.80 0 0
2.81 32 384
2.82 2 24
2.83 19 228
2.84 19 228
2.85 9 108
2.86 19 228
2.87 20 240
2.88 15 180
2.89 19 228
2.90 22 264
2.91 4 48
2.92 22 264
2.93 13 156
2.94 19 228
2.95 11 132
2.96 20 240
2.97 6 72
2.98 13 156
2.99 18 216
3.00 13 156
